id,slug,title,url,http_code,final_url,reason
,"","","https://peoplerun.ai",200,"https://peoplerun.ai/",""
,"%e2%9c%85-mc-restore-verified","","https://peoplerun.ai/%e2%9c%85-mc-restore-verified",200,"https://peoplerun.ai/%e2%9c%85-mc-restore-verified/",""
,"%f0%9f%94%90-token-map-publish-bridge-vs-operator-console-vnext","","https://peoplerun.ai/%f0%9f%94%90-token-map-publish-bridge-vs-operator-console-vnext",200,"https://peoplerun.ai/%f0%9f%94%90-token-map-publish-bridge-vs-operator-console-vnext/",""
,"1287-2","","https://peoplerun.ai/1287-2",200,"https://peoplerun.ai/1287-2/",""
,"1665-2","","https://peoplerun.ai/1665-2",200,"https://peoplerun.ai/1665-2/",""
,"3-lane-engine-systems","","https://peoplerun.ai/3-lane-engine-systems",200,"https://peoplerun.ai/3-lane-engine-systems/",""
,"activation-queue","","https://peoplerun.ai/activation-queue",200,"https://peoplerun.ai/activation-queue/",""
,"authoritative-input-node-ain-1-contract","","https://peoplerun.ai/authoritative-input-node-ain-1-contract",200,"https://peoplerun.ai/authoritative-input-node-ain-1-contract/",""
,"boot-hub","","https://peoplerun.ai/boot-hub",200,"https://peoplerun.ai/boot-hub/",""
,"boot-hub-hard-surface-entry","","https://peoplerun.ai/boot-hub-hard-surface-entry",200,"https://peoplerun.ai/boot-hub-hard-surface-entry/",""
,"build-document","","https://peoplerun.ai/build-document",200,"https://peoplerun.ai/build-document/",""
,"build-document-community-console-primitives-namespace-registry-publisher-router","","https://peoplerun.ai/build-document-community-console-primitives-namespace-registry-publisher-router",200,"https://peoplerun.ai/build-document-community-console-primitives-namespace-registry-publisher-router/",""
,"build-document-hard-jump-resolver-hjr-v1-0-soft-fail","","https://peoplerun.ai/build-document-hard-jump-resolver-hjr-v1-0-soft-fail",200,"https://peoplerun.ai/build-document-hard-jump-resolver-hjr-v1-0-soft-fail/",""
,"build-document-hard-surface-github-mirror-freeze-safe","","https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe",200,"https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe/",""
,"build-document-hard-surface-github-mirror-freeze-safe-2","","https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe-2",200,"https://peoplerun.ai/build-document-hard-surface-github-mirror-freeze-safe-2/",""
,"build-document-imagecraft-hard-enforcement-rule","","https://peoplerun.ai/build-document-imagecraft-hard-enforcement-rule",200,"https://peoplerun.ai/build-document-imagecraft-hard-enforcement-rule/",""
,"build-document-paid-from-day-one-public-access","","https://peoplerun.ai/build-document-paid-from-day-one-public-access",200,"https://peoplerun.ai/build-document-paid-from-day-one-public-access/",""
,"build-document-phase-i-admin-console-registry-guardrails-publisher-drift-detection","","https://peoplerun.ai/build-document-phase-i-admin-console-registry-guardrails-publisher-drift-detection",200,"https://peoplerun.ai/build-document-phase-i-admin-console-registry-guardrails-publisher-drift-detection/",""
,"build-document-phase-ii-a-control-surface-specification","","https://peoplerun.ai/build-document-phase-ii-a-control-surface-specification",200,"https://peoplerun.ai/build-document-phase-ii-a-control-surface-specification/",""
,"build-documents","","https://peoplerun.ai/build-documents",200,"https://peoplerun.ai/build-documents/",""
,"build-your-first-system","","https://peoplerun.ai/build-your-first-system",200,"https://peoplerun.ai/build-your-first-system/",""
,"builddoc-progress-console","","https://peoplerun.ai/builddoc-progress-console",200,"https://peoplerun.ai/builddoc-progress-console/",""
,"canonical-indices-hub","","https://peoplerun.ai/canonical-indices-hub",200,"https://peoplerun.ai/canonical-indices-hub/",""
,"canonical-structure-in-practice-issue-01","","https://peoplerun.ai/canonical-structure-in-practice-issue-01",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-01/",""
,"canonical-structure-in-practice-issue-02","","https://peoplerun.ai/canonical-structure-in-practice-issue-02",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-02/",""
,"canonical-structure-in-practice-issue-03","","https://peoplerun.ai/canonical-structure-in-practice-issue-03",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-03/",""
,"canonical-structure-in-practice-issue-04","","https://peoplerun.ai/canonical-structure-in-practice-issue-04",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-04/",""
,"canonical-structure-in-practice-issue-05","","https://peoplerun.ai/canonical-structure-in-practice-issue-05",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-05/",""
,"canonical-structure-in-practice-issue-06","","https://peoplerun.ai/canonical-structure-in-practice-issue-06",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-06/",""
,"canonical-structure-in-practice-issue-07","","https://peoplerun.ai/canonical-structure-in-practice-issue-07",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-07/",""
,"canonical-structure-in-practice-issue-08","","https://peoplerun.ai/canonical-structure-in-practice-issue-08",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-08/",""
,"canonical-structure-in-practice-issue-09","","https://peoplerun.ai/canonical-structure-in-practice-issue-09",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-09/",""
,"canonical-structure-in-practice-issue-10","","https://peoplerun.ai/canonical-structure-in-practice-issue-10",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-10/",""
,"canonical-structure-in-practice-issue-11","","https://peoplerun.ai/canonical-structure-in-practice-issue-11",200,"https://peoplerun.ai/canonical-structure-in-practice-issue-11/",""
